id,vehicle_name,vehicle_type,supplier,supplier_abbr,recipient,recipient_abbr,count,is_delivered,is_soviet,proof,year_first_produced
0,Su-25,Aircraft,NATO,NATO,Ukraine,UA,14,True,False,https://i.postimg.cc/RF9WvybT/547.png,1978.0
1,Su-25,Aircraft,Macedonia,MAC,Ukraine,UA,4,True,False,https://i.postimg.cc/9fFtzknc/47j.png,1978.0
2,MiG-29AS'/UBS',Aircraft,Slovakia,SLVK,Ukraine,UA,10,True,False,https://i.postimg.cc/BbwRwDPK/87500.png,1983.0
3,MiG-29As/UB,Aircraft,Slovakia,SLVK,Ukraine,UA,3,True,False,https://i.postimg.cc/mgrKWmyF/87500.png,1983.0
4,MiG-29,Aircraft,Poland,PL,Ukraine,UA,14,True,False,https://i.postimg.cc/x17pDndW/8740.png,1983.0
5,F-16A/B,Aircraft,Netherlands,NTHL,Ukraine,UA,42,True,False,https://i.postimg.cc/WbLWWzmG/30765,1974.0
6,F-16AM/BM,Aircraft,Denmark,DEN,Ukraine,UA,19,True,False,https://i.postimg.cc/WbLWWzmG/30765,1974.0
7,F-16AM/BM,Aircraft,Norway,NOR,Ukraine,UA,0,True,False,https://i.postimg.cc/nzS84vvB/658,1974.0
8,Mi-17V5,Helicopters,United States,USA,Ukraine,UA,20,True,False,https://i.postimg.cc/RV5jF49Q/image.jpg,1977.0
9,Mi-8MT,Helicopters,United States,USA,Ukraine,UA,1,True,False,https://i.postimg.cc/2S62YqVS/image.jpg,1961.0
10,Mi-24V,Helicopters,Czech Republic,CZ,Ukraine,UA,4,False,False,https://i.postimg.cc/zBtTMPNc/image.jpg,1976.0
11,Mi-2,Helicopters,Slovakia,SLVK,Ukraine,UA,1,True,False,https://i.postimg.cc/L6J37yqF/6689.png,1965.0
12,Mi-17,Helicopters,Slovakia,SLVK,Ukraine,UA,4,True,False,https://i.postimg.cc/SxpDHwwY/886.png,1977.0
13,Mi-2,Helicopters,Latvia,LTV,Ukraine,UA,2,True,False,https://i.postimg.cc/qMqGkSW0/image.jpg,1965.0
14,Mi-17,Helicopters,Latvia,LTV,Ukraine,UA,4,True,False,https://i.postimg.cc/d1YNhVXj/image.jpg,1977.0
15,Westland Sea King,Helicopters,United Kingdom,UK,Ukraine,UA,3,True,False,https://i.postimg.cc/nzVD3QJZ/image.jpg,1969.0
16,Mi-8T,Helicopters,Croatia,CRO,Ukraine,UA,2,True,False,https://i.postimg.cc/mDYGgVpN/873.png,1977.0
17,Mi-8PS,Helicopters,Croatia,CRO,Ukraine,UA,1,True,False,https://i.postimg.cc/1tq3cpCf/487.png,1961.0
18,Mi-8MTV-1,Helicopters,Croatia,CRO,Ukraine,UA,10,True,False,https://i.postimg.cc/bYgGwRtR/38kp.png,1961.0
19,Mi-8MTV-1VA,Helicopters,Croatia,CRO,Ukraine,UA,1,True,False,https://i.postimg.cc/NGJVtWp7/3u7.png,1961.0
20,Mi-24V,Helicopters,Poland,PL,Ukraine,UA,12,True,False,https://i.postimg.cc/kgrpz8QX/image.jpg,1976.0
21,Mi-8,Helicopters,Lithuania,LITH,Ukraine,UA,2,True,False,https://postimg.cc/K1YtCpyR,1961.0
22,Mi-24V,Helicopters,Macedonia,MAC,Ukraine,UA,10,True,False,https://i.postimg.cc/cCxNzw1x/35y.png,1976.0
23,Mi-24K,Helicopters,Macedonia,MAC,Ukraine,UA,2,True,False,https://i.postimg.cc/Wbs3RqYJ/387k.png,1976.0
24,Ka-32A11BC,Helicopters,Portugal,POR,Ukraine,UA,6,True,False,https://i.postimg.cc/xj7bC4RB/468.png,1982.0
25,Bayraktar TB2,Unmanned Combat Aerial Vehicles,Turkey,TRK,Ukraine,UA,35,True,False,https://i.postimg.cc/N0n17mfj/ezgif,2014.0
26,T-72M1,Tanks,Germany,GER,Ukraine,UA,0,True,False,https://i.postimg.cc/W4cTJ6wp/image.jpg,1979.0
27,T-72M1,Tanks,Czech Republic,CZ,Ukraine,UA,50,True,False,https://postimg.cc/Q9qCLVn4,1979.0
28,T-72M(R)s and T-72M1(R),Tanks,Poland,PL,Ukraine,UA,250,True,False,https://i.postimg.cc/N0Bdqc24/image.jpg,1979.0
29,T-72A,Tanks,Macedonia,MAC,Ukraine,UA,31,True,False,https://twitter.com/UAWeapons/status/1552975117336076290,1979.0
30,M-55S',Tanks,Germany,GER,Ukraine,UA,28,True,False,https://i.postimg.cc/HsbNf3PT/luuf95ms2x9a1.jpg,1999.0
31,T-72EA,Tanks,Netherlands,NTHL,Ukraine,UA,45,True,False,https://i.postimg.cc/KjygcsNq/ea,2022.0
32,T-72EA,Tanks,United States,USA,Ukraine,UA,45,True,False,https://i.postimg.cc/KjygcsNq/ea,2022.0
33,Leopard 2A4,Tanks,Poland,PL,Ukraine,UA,14,True,False,https://i.postimg.cc/CMDHQWVS/image.jpg,1985.0
34,Leopard 2A4,Tanks,Canada,CAN,Ukraine,UA,8,True,False,https://i.postimg.cc/m2ynMfLn/image.jpg,1985.0
35,Leopard 2A4,Tanks,Norway,NOR,Ukraine,UA,8,True,False,https://i.postimg.cc/sDKPLNRF/image.jpg,1985.0
36,Leopard 2A6,Tanks,Germany,GER,Ukraine,UA,18,True,False,https://i.postimg.cc/7h8V9r40/23d.png,2007.0
37,Leopard 2A6,Tanks,Portugal,POR,Ukraine,UA,3,True,False,https://i.postimg.cc/KcBQzj7N/28p.png,2007.0
38,Challenger 2,Tanks,United Kingdom,UK,Ukraine,UA,14,True,False,https://i.postimg.cc/vmwZGPGX/Defence,1998.0
39,PT-91,Tanks,Poland,PL,Ukraine,UA,60,True,False,https://i.postimg.cc/xdh81wQM/image.jpg,1990.0
40,Leopard 2A4,Tanks,Spain,SP,Ukraine,UA,10,True,False,https://i.postimg.cc/7LjrnhW6/48jp.png,1985.0
