,id,name,type,status,day,month,year,manufacturer,manufacturer_abbr,user,user_abbr,proof,year_first_produced,date_lost
0,1,M-55S,Tanks,destroyed,,,,Slovenia,SLVN,Ukraine,UA,https://twitter.com/UAWeapons/status/1682710915811033092,1999.0,
1,2,M-55S,Tanks,damaged,,,,Slovenia,SLVN,Ukraine,UA,https://twitter.com/UAWeapons/status/1680549443043483654,1999.0,
2,3,T-64A,Tanks,destroyed,7.0,4.0,22.0,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/dVvPF6kS,1977.0,2022-04-07
3,4,T-64A,Tanks,captured,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/kXYMFPXM,1977.0,
4,5,T-64B,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/pX1zHz7L,1976.0,
5,6,T-64B,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/FK3FZ04Q,1976.0,
6,7,T-64B,Tanks,captured,4.0,3.0,22.0,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/9fH0rFwJ,1976.0,2022-03-04
7,8,T-64B,Tanks,captured,,,,Soviet Union,USSR,Ukraine,UA,https://twitter.com/UAWeapons/status/1633907229647618048,1976.0,
8,9,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/vZnd6LYT,1976.0,
9,10,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/59wN4Ybq,1976.0,
10,11,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/442p3Kn8,1976.0,
11,12,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/Njvhbd38,1976.0,
12,13,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/jSkfDQJC,1976.0,
13,14,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/jSkfDQJC,1976.0,
14,15,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/C1XTdKjW,1976.0,
15,16,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/44zyTqfZ,1976.0,
16,17,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/zfdggTnG,1976.0,
17,18,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://twitter.com/UAWeapons/status/1641178598454226944,1976.0,
18,19,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/xCh7ZpMw,1976.0,
19,20,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/XvZLPhKf,1976.0,
20,21,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/8zC4rW64,1976.0,
21,22,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/LXjZKyB3,1976.0,
22,23,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/GpXfM7DH,1976.0,
23,24,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/MpP3ydft,1976.0,
24,25,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/15YP8yQG,1976.0,
25,26,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/15hWDxMQ,1976.0,
26,27,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postimg.cc/m1wCg20r,1976.0,
27,28,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/YqRKxCHL,1976.0,
28,29,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/Dw7LbFQz,1976.0,
29,30,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/xTdfVcCD,1976.0,
30,31,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/fLNrqgBC,1976.0,
31,32,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/fyK8zRsN,1976.0,
32,33,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/prjPXPJ9,1976.0,
33,34,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/prjPXPJ9,1976.0,
34,35,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/QNwyyn6n,1976.0,
35,36,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/2SV3vjL6,1976.0,
36,37,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/HxJTB3XX,1976.0,
37,38,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/Z5qPwc6K,1976.0,
38,39,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://twitter.com/UAWeapons/status/1521098647341043715,1976.0,
39,40,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/cvsC9377,1976.0,
40,41,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/6QWpB0Bh,1976.0,
41,42,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/PJJcNT5T,1976.0,
42,43,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/tgnHYb2n,1976.0,
43,44,T-64BV,Tanks,destroyed,,,,Soviet Union,USSR,Ukraine,UA,https://postlmg.cc/kGb27KBJ,1976.0,
